592	7347	rooti
593	7347	-kan
594	7800	rooti
595	7800	-kay
596	7800	-ka
597	7807	rooti
598	7807	-kay
599	7807	-kan
600	7804	rooti
601	7804	-keed
602	7804	-ka
603	7811	rooti
604	7811	-keed
605	7811	-kaas
606	7803	rooti
607	7803	-kiis
608	7803	-ka
609	7810	rooti
610	7810	-kiis
611	7810	-kaas
612	7352	rooti
613	7352	-kood
614	7812	rooti
615	7812	-kood
616	7812	-kaas
617	7787	rooti
618	7787	-o 2
619	7787	-ta
620	7790	rooti
621	7790	-o 2
622	7790	-taas
623	7791	rooti
624	7791	-o 2
625	7791	-tan
626	7792	rooti
627	7792	-o 2
628	7792	-kan
629	7786	rooti
630	7786	-o 2
631	10312	Aamin-
632	10312	-o
633	10313	aad
634	10314	aay-
635	10314	-o
636	10315	aarsi
637	10316	aammus
638	10317	aar
639	10318	aan-
640	10318	-o
641	10319	aagaan
642	10320	abbuur
643	10321	aag
644	10322	baar
645	10323	baad 2
646	10324	caar-
647	10324	-o
648	10325	saadaal
649	10325	-i 3
650	10325	-n
651	10326	saafi
652	10327	waal-
653	10327	-o
654	10330	harraad
655	10329	aasaas
656	10331	daawad-
657	10331	-sh-
658	10331	-o
659	10332	baaf
660	5441	caw-
661	5441	-o
662	5441	-ta
663	5441	-tan
664	5444	caw-
665	5444	-o
666	5444	-tii
667	5452	maalm-
668	5452	-o 2
669	5452	afar
670	5452	ah
671	5452	oo
672	5452	hor
673	5452	-ee 3
674	5452	t-
675	5452	-ay 2
676	5463	macallim-
677	5463	iyo
678	5463	arday
679	5464	bar-
680	5464	-e
681	5464	iyo
682	5464	arday
683	5495	macallim-
684	5495	-iin
685	5495	-ta
686	5514	afar
687	5514	inan 1
688	9555	wiil
689	9555	-ka
690	9555	ord-
691	9555	-ay 1
692	9555	-a 2
693	9555	-ow
694	9556	gabdh-
695	9556	-ta
696	9556	ord-
697	9556	-ay 1
698	9556	-a 2
699	9556	-t
700	9556	-Vy
701	9557	wiil
702	9557	-ka
703	9557	jiif-
704	9557	-a 2
705	9557	-ow
706	9558	wiil
707	9558	-ka
708	9558	hurd-
709	9558	-ay 1
710	9558	-a 2
711	9558	-ow
712	9559	madax
713	9559	+
714	9559	weyn
715	9559	-e
716	9560	madax
717	9560	+
718	9560	weyn
719	9560	-e
720	9561	waa
721	9561	ay
722	9561	ord-
723	9561	-i 2
724	9561	jir-
725	9561	-ee 2
726	9561	-n 2
727	9562	guddoom-
728	9562	-i 3
729	9562	-e
730	9562	´-Ø
731	9563	waa
732	9563	ay
733	9563	ord-
734	9563	-i 2
735	9563	kar- 2
736	9563	-aa 2
737	9563	-n 2
738	10136	waa
739	10136	aan 1
740	10136	ord-
741	10136	-i 2
742	10136	kar- 2
743	10136	-aa 2
